name,street,postcode,place,lat,lng,source_priority,source_url,google_place_id,google_rating,google_maps_url
Hexentanzpl. 4,,06502,Thale,51.7268556,11.0254279,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJmVGXYyakpUcRxhF-o6cVrKw,,https://maps.google.com/?cid=12442343680264507846&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Am Festpl. 9,,06528,Riestedt,51.4940857,11.3548012,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJJShUTBXLpUcRdOYZI2dF_4g,,https://maps.google.com/?cid=9871685217492264564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Am Quellgrund 14,,06567,Bad Frankenhausen,51.3599152,11.1021005,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJ7z1OrdNIpEcR-Iv2L2gbcZs,,https://maps.google.com/?cid=11200763882542369784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Str. d. Einheit 29,,06638,Karsdorf,51.2786708,11.6579875,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJMb87S7CCpkcRiiB8fGLyOAk,,https://maps.google.com/?cid=664547449846374538&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Rodler-Treff,,06648,Eckartsberga,51.1191931,11.562356,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJWSRGgskhpEcRa8CGKQowOUQ,3,https://maps.google.com/?cid=4916013288456110187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Güldene Hufe 10,,06667,Weissenfels,51.1944225,11.9355979,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJNWVBpHqRpkcRoEmn16i3d48,,https://maps.google.com/?cid=10337933405452716448&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Kreuzbergstraße 179,,06849,Dessau,51.8103382,12.2550296,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJgzgiPp8WpkcRVxzjHuXnl_w,,https://maps.google.com/?cid=18201271390292876375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Wiesenstraße,,06895,Zahna,51.92151,12.7879319,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJcQ4kbPUrpkcRemUC6nO19Nc,,https://maps.google.com/?cid=15561262121923798394&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Am Brink 3,,06909,Sewekow,53.250317,12.6543247,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJmeo-xO9RqUcRzdrIappjArE,,https://maps.google.com/?cid=12754866609534327501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Ortsstraße,,07338,Hohenwarte,50.605561,11.4797683,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJsZrGRwFaoUcRmmg7yv7BDuM,,https://maps.google.com/?cid=16361227796342335642&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
